User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Calories
14532391,male,68,190,94,0.0,105,0.0
19522181,male,68,190,94,10.0,0,0.0
14733363,male,68,190,94,29.0,105,231.0
14861698,female,20,166,60,14.0,94,66.0
11179863,male,69,179,79,5.0,88,26.0
16180408,female,34,179,71,13.0,100,71.0
17771927,female,27,154,58,10.0,81,35.0
15130815,female,36,151,50,23.0,96,123.0
19602372,female,33,158,56,22.0,95,112.0
11117088,male,41,175,85,25.0,100,143.0
12132339,male,60,186,94,21.0,97,134.0
17964668,female,26,146,51,16.0,90,72.0
13723164,female,36,177,76,1.0,74,3.0
13681290,female,21,157,56,17.0,100,92.0
15566424,male,66,171,79,11.0,90,58.0
12891699,female,32,157,54,18.0,93,88.0
13823829,male,53,182,85,2.0,82,7.0
17557348,female,39,156,62,28.0,104,170.0
12198133,male,39,182,82,4.0,82,11.0
15236104,male,46,169,67,11.0,89,43.0
11042324,female,27,171,65,4.0,85,15.0
16864285,male,50,188,86,14.0,94,74.0
11674347,male,67,189,93,8.0,77,29.0
19797300,female,31,148,50,8.0,84,32.0
14711095,female,33,157,60,3.0,80,10.0
14434854,female,20,165,59,29.0,100,155.0
14893804,male,48,182,85,1.0,80,3.0
17231597,male,29,176,75,10.0,83,24.0
10901446,male,33,173,73,7.0,78,12.0
15874362,male,42,190,88,3.0,83,10.0
15569252,female,62,159,59,29.0,106,195.0
15615743,male,38,171,75,2.0,81,5.0
13363046,male,20,183,88,16.0,97,69.0
17572853,female,25,160,59,24.0,102,136.0
17157339,female,24,165,59,18.0,91,80.0
18328111,female,42,165,68,22.0,93,107.0
19303479,male,22,182,84,29.0,114,200.0
10699201,female,74,158,59,10.0,93,56.0
15283313,female,70,154,59,10.0,88,50.0
16324247,female,26,182,80,21.0,96,100.0
14277710,male,44,184,86,25.0,114,200.0
10888188,male,61,183,86,1.0,81,4.0
13379795,female,68,157,57,13.0,92,70.0
17181524,female,61,176,70,20.0,104,127.0
15988442,male,63,179,80,25.0,108,197.0
19538533,female,54,171,66,20.0,98,113.0
14591877,female,54,169,66,3.0,80,11.0
14274480,female,47,155,55,16.0,93,82.0
16818429,male,33,184,86,8.0,86,26.0
17476522,female,24,171,66,24.0,105,141.0
16369885,male,24,195,98,20.0,96,92.0
17816292,male,48,152,59,2.0,79,5.0
15995398,male,35,193,93,10.0,83,30.0
17615432,male,21,168,71,3.0,78,3.0
10146087,female,21,179,73,9.0,90,37.0
17967445,female,22,158,62,25.0,105,147.0
19670291,female,69,174,69,2.0,80,8.0
10580576,male,53,191,101,21.0,106,159.0
15854213,female,68,155,58,15.0,100,93.0
11138472,female,69,164,65,23.0,113,173.0
18276801,male,28,198,101,19.0,95,89.0
13823902,male,70,188,89,7.0,82,31.0
19222133,female,36,170,64,9.0,84,35.0
13231909,female,77,177,80,16.0,98,94.0
12726617,female,32,167,63,9.0,99,49.0
12538968,female,62,185,77,13.0,84,54.0
10941668,female,64,151,56,20.0,97,117.0
12628985,male,45,175,79,27.0,104,173.0
17691320,male,45,158,61,20.0,97,99.0
17822027,female,22,177,71,10.0,93,45.0
13777657,male,45,169,69,22.0,113,166.0
19423359,female,66,174,69,28.0,111,202.0
14701930,male,31,182,83,20.0,101,107.0
11513205,female,57,163,68,29.0,109,199.0
11842710,male,53,192,93,5.0,90,25.0
12576313,female,22,179,67,8.0,77,23.0
12367125,male,67,192,92,24.0,108,200.0
16913504,female,27,168,64,2.0,76,6.0
19439155,male,57,178,83,2.0,79,7.0
16137644,female,49,168,68,20.0,99,113.0
11622081,female,39,168,63,29.0,108,188.0
17374074,male,47,165,72,20.0,96,103.0
19096890,male,62,197,101,17.0,103,128.0
19628507,male,41,187,89,23.0,99,130.0
16918679,female,34,144,50,7.0,83,27.0
11194130,female,40,163,62,27.0,111,185.0
18863486,female,55,155,57,11.0,92,57.0
11754581,male,44,189,88,13.0,94,65.0
15161631,female,45,160,60,16.0,99,91.0
18735761,female,49,164,64,19.0,105,120.0
15878611,female,46,166,68,12.0,101,70.0
19249559,male,25,202,100,9.0,94,39.0
15469030,male,68,171,80,22.0,95,136.0
11157560,female,25,169,64,14.0,101,77.0
19576971,female,31,174,67,9.0,93,42.0
15048071,male,57,184,91,7.0,95,41.0
18707469,female,27,159,59,14.0,88,59.0
12598637,male,40,201,98,24.0,110,179.0
14342169,female,57,171,74,2.0,73,6.0
19208771,female,23,155,62,5.0,74,13.0
11790318,male,23,189,87,23.0,110,147.0
11756583,male,43,183,88,26.0,107,180.0
16417986,male,74,201,107,14.0,96,101.0
13065142,female,45,158,53,23.0,106,150.0
10481882,female,31,165,60,25.0,115,179.0
19521409,male,21,195,93,6.0,93,23.0
15862346,male,50,190,96,3.0,80,10.0
12234447,male,39,175,74,9.0,93,39.0
14624633,male,57,169,81,30.0,112,247.0
17074274,female,26,159,53,19.0,92,89.0
17636190,male,34,181,83,25.0,102,141.0
14345479,female,55,160,62,4.0,87,18.0
11772472,female,52,171,67,15.0,89,70.0
19087162,male,21,188,90,29.0,110,185.0
15875055,female,20,136,45,11.0,94,54.0
10939512,female,79,152,60,29.0,107,207.0
13616455,male,21,189,91,27.0,114,189.0
19118405,male,50,171,74,2.0,82,6.0
10503799,female,29,180,76,12.0,97,60.0
16572590,male,22,194,92,6.0,92,23.0
17336010,female,28,158,60,27.0,113,186.0
15483091,male,38,188,93,28.0,104,178.0
10006441,male,23,169,73,25.0,102,122.0
13075455,female,68,159,68,24.0,108,166.0
17564519,male,79,176,86,20.0,102,158.0
18789619,female,35,182,70,2.0,83,7.0
15444304,male,67,201,96,18.0,105,143.0
13122354,female,21,156,52,12.0,82,43.0
10692173,female,44,143,49,17.0,92,86.0
12890276,female,43,175,72,23.0,100,128.0
14339451,male,21,186,79,29.0,111,182.0
16626118,female,32,170,70,10.0,98,52.0
17268858,male,79,179,91,27.0,107,236.0
13816658,male,51,192,96,19.0,97,114.0
14191617,female,60,174,67,11.0,99,64.0
13672975,male,49,184,86,26.0,103,171.0
16361679,male,46,179,84,6.0,82,19.0
17739883,female,35,149,54,21.0,111,144.0
19341462,male,31,172,76,9.0,94,37.0
14117537,male,42,185,78,26.0,110,185.0
12667831,female,66,174,69,13.0,87,60.0
10661999,male,52,189,90,22.0,96,127.0
10366046,male,59,166,73,23.0,101,149.0
11523134,male,23,169,71,16.0,102,78.0
12275702,female,49,164,63,5.0,91,24.0
11190411,female,25,157,57,23.0,107,143.0
19686449,male,20,188,84,27.0,104,143.0
15565644,female,28,163,66,15.0,94,71.0
10154011,male,60,182,90,11.0,90,58.0
12676049,female,29,178,77,15.0,95,71.0
10228092,male,40,184,87,5.0,88,20.0
18997284,male,26,191,93,17.0,96,78.0
10836250,female,26,176,76,19.0,97,93.0
15883541,male,25,158,58,6.0,90,17.0
16990389,female,60,190,87,3.0,84,12.0
17046329,male,25,181,81,23.0,101,115.0
14136420,female,39,165,65,19.0,106,119.0
13138092,female,30,153,53,26.0,108,168.0
16655537,male,23,198,100,12.0,90,44.0
16245184,female,37,148,51,29.0,108,192.0
19157340,female,22,147,47,17.0,101,96.0
19810083,female,26,170,68,23.0,105,135.0
19821989,female,56,167,60,12.0,86,54.0
17219988,male,43,171,79,30.0,115,239.0
19572798,female,38,169,65,14.0,94,69.0
18360844,male,24,179,80,14.0,90,46.0
13918575,female,25,164,63,21.0,101,115.0
15319150,female,31,163,62,4.0,88,17.0
16112624,female,54,151,57,25.0,115,190.0
11099585,female,34,190,91,12.0,89,48.0
17300463,female,28,176,72,27.0,112,178.0
17118372,male,24,191,95,6.0,88,20.0
14435543,female,27,167,69,15.0,90,64.0
10908558,female,35,154,57,19.0,94,95.0
14181557,male,49,183,89,25.0,111,196.0
17152651,male,36,185,91,2.0,91,9.0
10192977,female,58,192,83,18.0,101,105.0
19584135,female,40,157,61,12.0,92,58.0
19445771,male,31,179,77,24.0,97,111.0
11294536,male,50,182,86,17.0,101,108.0
12845462,male,36,202,109,6.0,87,24.0
10578158,female,34,163,61,13.0,96,67.0
19789364,female,78,153,54,13.0,84,62.0
12301038,male,41,178,76,28.0,104,172.0
18976127,male,41,172,71,7.0,87,24.0
11460469,male,24,178,77,19.0,98,84.0
15238405,female,67,173,69,20.0,105,132.0
18559105,female,47,179,75,25.0,110,167.0
12761860,female,42,154,52,17.0,101,101.0
12777201,female,25,180,75,23.0,97,113.0
11084582,male,25,179,78,17.0,101,84.0
11393152,female,58,165,68,6.0,88,28.0
12327773,male,68,191,98,22.0,99,157.0
12038545,male,24,181,91,14.0,97,64.0
17593004,male,38,192,92,21.0,104,133.0
11708341,female,26,164,59,23.0,108,145.0
10753818,male,64,178,83,24.0,103,174.0
10608177,female,49,174,75,7.0,93,34.0
11267944,female,73,158,57,29.0,103,193.0
19795364,male,27,180,86,24.0,107,147.0
14290814,male,66,171,72,18.0,105,133.0
19222644,male,39,199,104,26.0,101,161.0
12847212,female,30,168,62,6.0,76,18.0
11986136,male,76,187,96,12.0,96,85.0
11830053,male,60,193,90,15.0,95,90.0
14737350,male,54,188,90,23.0,108,176.0
15294669,female,49,166,66,11.0,89,51.0
17146724,female,24,173,66,7.0,82,24.0
17490159,female,28,161,57,6.0,83,22.0
15501381,male,72,197,102,25.0,106,212.0
16736138,male,32,171,78,29.0,112,201.0
18493316,female,36,159,59,17.0,93,83.0
17497515,male,65,204,103,14.0,93,87.0
14364172,female,36,163,67,27.0,97,141.0
14217831,female,32,159,63,23.0,103,134.0
10483147,male,42,180,84,2.0,80,5.0
18046507,male,34,191,94,29.0,109,201.0
12414011,male,34,181,78,3.0,86,9.0
10710546,male,26,191,86,8.0,83,20.0
16175343,male,31,203,105,29.0,113,221.0
12020646,female,64,157,63,17.0,105,112.0
13611443,male,34,185,93,20.0,99,108.0
16383525,male,63,204,112,29.0,110,257.0
17841776,male,44,194,87,27.0,108,192.0
10735479,male,36,190,96,17.0,90,72.0
13117699,male,41,173,71,28.0,104,169.0
16042685,male,73,168,77,18.0,97,120.0
10315558,male,31,186,85,28.0,106,172.0
12304455,male,22,179,73,10.0,84,21.0
15503276,female,34,161,56,18.0,102,105.0
10565624,female,21,168,65,25.0,109,156.0
12458510,female,22,145,50,3.0,89,13.0
13885247,male,33,190,97,24.0,100,134.0
11572170,female,51,157,60,21.0,103,130.0
19911268,male,45,195,99,2.0,83,7.0
12859596,female,33,175,67,25.0,101,140.0
15376017,male,47,198,97,7.0,91,34.0
19921858,female,70,175,74,9.0,79,34.0
19187230,female,77,160,63,8.0,92,44.0
10874559,female,35,172,71,11.0,85,42.0
11746700,female,44,161,60,2.0,89,9.0
10952850,female,71,164,60,18.0,97,107.0
16785115,female,54,174,75,9.0,87,39.0
14951529,female,63,166,68,26.0,108,178.0
13846186,female,50,149,55,13.0,101,79.0
10590765,male,63,200,105,15.0,102,113.0
15032837,female,30,163,58,22.0,109,143.0
15511677,female,33,163,57,4.0,84,16.0
18148848,male,38,189,91,24.0,100,137.0
13172849,male,20,183,81,17.0,97,71.0
18401432,female,67,159,62,13.0,94,72.0
14857446,male,24,188,90,14.0,103,76.0
12734403,male,30,197,103,27.0,109,187.0
11693744,female,35,145,49,18.0,103,109.0
10622381,female,63,176,79,29.0,111,204.0
18548803,female,50,157,60,6.0,91,29.0
18119523,male,33,200,101,17.0,98,91.0
13991141,female,36,163,58,4.0,84,16.0
10677750,male,75,187,97,7.0,84,36.0
17724752,male,56,184,93,13.0,97,80.0
17047475,female,50,182,75,22.0,111,151.0
18908393,male,24,183,80,27.0,116,195.0
19475479,female,32,172,72,8.0,80,26.0
10854360,male,49,193,100,22.0,99,138.0
17425584,female,77,170,65,3.0,89,15.0
15539064,male,67,171,75,19.0,97,120.0
14130669,male,23,182,81,30.0,112,197.0
15015988,male,37,192,95,21.0,98,114.0
13741485,female,35,163,59,20.0,107,127.0
13015812,male,34,185,83,23.0,97,112.0
13939844,female,49,168,67,21.0,98,116.0
13135068,female,69,156,61,8.0,83,35.0
13286573,male,49,194,101,16.0,103,110.0
19246830,female,41,150,51,22.0,95,117.0
18976105,male,42,195,95,17.0,105,115.0
14714345,male,52,188,93,21.0,107,157.0
18319225,female,26,158,60,12.0,91,54.0
14775199,female,79,178,80,25.0,104,163.0
10074404,male,72,172,82,19.0,107,156.0
16366307,male,34,195,92,10.0,91,42.0
13945114,female,60,152,50,7.0,89,35.0
16749464,female,45,158,57,7.0,91,34.0
18521428,male,33,188,92,19.0,98,99.0
10207737,male,56,192,97,20.0,109,161.0
10722362,female,21,153,54,8.0,94,38.0
15316949,female,50,161,61,18.0,99,104.0
14920065,male,60,184,86,27.0,105,200.0
10809847,male,39,162,72,28.0,108,183.0
12363678,male,48,175,75,19.0,110,140.0
17804243,female,38,163,65,19.0,97,100.0
15862195,male,54,190,95,22.0,110,178.0
12555008,male,23,195,89,27.0,104,150.0
13788834,female,72,164,68,15.0,94,83.0
19113986,male,47,179,79,6.0,74,12.0
19510192,female,58,170,72,8.0,103,49.0
15831321,male,41,179,85,25.0,101,147.0
14142930,male,62,193,100,8.0,90,44.0
16036236,female,30,168,67,29.0,107,179.0
19962170,female,32,156,56,23.0,113,161.0
11390035,male,20,178,80,9.0,84,20.0
16163940,female,53,168,65,21.0,102,127.0
17847428,male,51,189,95,30.0,112,247.0
18908334,male,78,177,86,23.0,100,173.0
17029728,female,31,169,69,1.0,74,3.0
10082523,male,74,205,112,6.0,83,32.0
15505673,female,50,177,70,22.0,106,140.0
12679497,female,40,160,70,8.0,88,34.0
17438788,male,41,172,75,8.0,88,30.0
19382988,female,26,161,54,13.0,94,64.0
13632419,male,25,185,89,27.0,104,152.0
12432246,male,31,184,89,15.0,105,91.0
19984594,male,20,186,90,4.0,83,9.0
14768524,female,55,176,72,5.0,84,20.0
18107311,female,52,160,59,25.0,103,156.0
11102823,male,60,208,105,26.0,110,223.0
11337714,male,36,191,93,16.0,97,83.0
15422663,female,53,168,69,11.0,89,51.0
10201123,male,36,193,95,10.0,97,52.0
10310404,female,23,169,68,25.0,114,170.0
17001911,female,36,164,57,2.0,79,7.0
13586767,female,37,166,61,25.0,103,149.0
11312954,male,48,181,80,27.0,105,181.0
19873304,female,39,167,71,27.0,118,201.0
10331021,male,21,205,103,7.0,88,23.0
10566369,male,20,187,86,23.0,100,109.0
19286727,male,57,169,72,8.0,84,30.0
19845852,female,77,160,66,15.0,94,84.0
18971121,male,34,184,85,19.0,109,128.0
16784301,male,52,189,92,23.0,97,137.0
15158798,male,70,194,91,28.0,103,216.0
12730658,female,64,157,54,12.0,95,68.0
16649627,male,73,198,101,18.0,97,129.0
16205668,male,47,195,99,11.0,88,50.0
15013894,female,39,164,65,5.0,84,19.0
12286808,female,25,163,60,7.0,89,30.0
10485469,male,22,165,67,27.0,119,197.0
13340241,male,67,173,78,4.0,95,24.0
14093741,female,64,164,67,13.0,94,70.0
11983925,male,37,200,100,12.0,91,54.0
11222672,male,21,184,78,19.0,100,88.0
17862213,male,40,190,97,7.0,83,24.0
18184462,female,36,174,68,19.0,108,121.0
14919629,female,53,178,77,11.0,95,57.0
17551112,male,41,192,99,22.0,98,126.0
17567644,male,56,184,88,5.0,89,24.0
17752929,female,29,166,65,11.0,84,41.0
18452221,male,28,192,92,7.0,92,28.0
15176055,male,22,191,88,10.0,90,34.0
10836299,male,76,195,93,23.0,96,161.0
14734299,male,73,175,76,4.0,86,20.0
10567350,male,39,191,86,23.0,97,119.0
13304804,female,69,162,59,11.0,95,63.0
10638410,female,46,180,75,12.0,93,58.0
13464795,female,30,163,58,30.0,115,215.0
13693397,female,35,168,67,17.0,101,96.0
14347203,female,60,176,71,24.0,107,160.0
13541948,female,35,150,50,25.0,104,154.0
12431875,male,26,182,84,5.0,81,11.0
18290984,male,21,183,83,23.0,104,122.0
15699085,female,27,158,57,22.0,101,124.0
17286230,female,47,172,69,21.0,97,113.0
12037170,female,27,183,79,3.0,80,9.0
15295331,male,49,181,79,29.0,108,208.0
13302612,male,27,178,83,19.0,102,101.0
14255616,male,46,194,91,14.0,91,66.0
12824130,male,58,197,98,14.0,102,100.0
12481603,male,27,172,77,13.0,101,65.0
17977871,male,29,176,76,13.0,91,47.0
10164017,male,39,197,96,3.0,78,8.0
13155595,female,56,160,63,4.0,84,17.0
11627255,male,32,183,83,21.0,97,101.0
12530320,female,43,169,67,5.0,80,18.0
14132143,male,21,202,98,21.0,108,131.0
14940695,female,76,175,72,10.0,97,58.0
17806572,female,22,162,59,15.0,104,87.0
14971780,male,35,200,99,24.0,104,152.0
16691239,male,45,191,95,28.0,105,193.0
15563989,male,32,176,83,10.0,99,51.0
10679574,male,39,178,80,25.0,105,157.0
10176870,female,44,174,75,27.0,105,165.0
19455108,female,26,174,67,6.0,84,22.0
18145627,female,42,179,72,17.0,98,91.0
13361025,female,24,178,78,2.0,93,9.0
19596964,male,56,186,93,14.0,91,74.0
18120047,male,71,185,96,5.0,85,26.0
19554783,female,37,187,84,11.0,99,57.0
17873138,female,47,162,63,10.0,81,37.0
12940540,male,48,167,67,29.0,112,217.0
12338218,male,52,183,86,11.0,87,47.0
11860761,male,40,192,98,24.0,99,139.0
16221860,female,66,180,75,4.0,88,19.0
14662956,female,37,157,59,16.0,94,80.0
15359537,male,28,193,93,17.0,94,74.0
19371363,female,59,148,51,10.0,93,54.0
16364264,male,24,182,78,28.0,105,154.0
15285889,female,67,162,62,26.0,93,140.0
11844111,male,33,192,98,10.0,97,52.0
10907293,male,34,192,99,15.0,97,79.0
12870966,male,40,181,84,17.0,99,94.0
17244789,male,22,193,85,28.0,116,202.0
11185950,male,66,164,75,27.0,114,238.0
15381308,male,42,182,82,19.0,103,117.0
16193075,male,42,209,111,7.0,83,26.0
19166163,male,64,203,97,23.0,106,184.0
14314848,female,32,162,64,28.0,105,169.0
11718003,male,24,189,91,1.0,78,2.0
17985735,male,26,182,83,27.0,107,162.0
12701312,female,32,159,55,13.0,92,62.0
10377282,male,51,190,94,21.0,105,150.0
18979629,female,40,165,59,27.0,110,183.0
15987356,female,34,179,74,25.0,101,138.0
15694837,male,48,185,88,15.0,103,99.0
10160535,female,21,147,45,23.0,100,128.0
19295195,female,31,175,68,12.0,91,54.0
19318394,male,76,193,103,18.0,95,127.0
19941237,male,20,177,79,5.0,84,11.0
19326172,male,22,167,73,18.0,94,66.0
13422365,male,44,180,84,11.0,91,49.0
16412866,female,49,173,67,10.0,85,42.0
12961279,male,49,179,79,7.0,95,37.0
15322514,female,46,154,55,3.0,84,12.0
18742025,male,75,186,84,29.0,107,243.0
19370901,female,20,167,58,5.0,76,14.0
16152838,female,33,154,59,28.0,105,171.0
11589040,male,68,166,75,28.0,112,241.0
18394669,female,58,173,73,20.0,104,125.0
19783354,male,23,179,81,26.0,112,171.0
15351545,male,79,198,96,9.0,87,52.0
12132600,male,43,201,104,28.0,103,187.0
12811109,female,37,178,74,24.0,104,141.0
13079051,male,75,199,103,28.0,123,314.0
13156882,female,61,173,73,26.0,102,159.0
15720905,female,26,169,62,9.0,80,30.0
11372824,female,23,173,72,28.0,110,176.0
10352361,male,64,178,82,25.0,111,211.0
13705651,female,20,170,68,8.0,85,29.0
16859377,female,22,171,69,21.0,95,99.0
